# Midplane coils (n = 3 configuration)
       6       0
     202       -1.000000       0
      0.92001547E+02     -0.15013288E+03      0.48260000E+02
      0.93490548E+02     -0.14921020E+03      0.48260000E+02
      0.94970297E+02     -0.14827275E+03      0.48260000E+02
      0.96440646E+02     -0.14732063E+03      0.48260000E+02
      0.97901451E+02     -0.14635393E+03      0.48260000E+02
      0.99352566E+02     -0.14537274E+03      0.48260000E+02
      0.10079385E+03     -0.14437717E+03      0.48260000E+02
      0.10222516E+03     -0.14336730E+03      0.48260000E+02
      0.10364635E+03     -0.14234325E+03      0.48260000E+02
      0.10505728E+03     -0.14130511E+03      0.48260000E+02
      0.10645781E+03     -0.14025299E+03      0.48260000E+02
      0.10784781E+03     -0.13918698E+03      0.48260000E+02
      0.10922714E+03     -0.13810720E+03      0.48260000E+02
      0.11059565E+03     -0.13701375E+03      0.48260000E+02
      0.11195322E+03     -0.13590674E+03      0.48260000E+02
      0.11329971E+03     -0.13478628E+03      0.48260000E+02
      0.11463498E+03     -0.13365248E+03      0.48260000E+02
      0.11595892E+03     -0.13250546E+03      0.48260000E+02
      0.11727137E+03     -0.13134532E+03      0.48260000E+02
      0.11857222E+03     -0.13017218E+03      0.48260000E+02
      0.11986133E+03     -0.12898615E+03      0.48260000E+02
      0.12113858E+03     -0.12778736E+03      0.48260000E+02
      0.12240384E+03     -0.12657593E+03      0.48260000E+02
      0.12365699E+03     -0.12535197E+03      0.48260000E+02
      0.12489790E+03     -0.12411560E+03      0.48260000E+02
      0.12612645E+03     -0.12286694E+03      0.48260000E+02
      0.12734251E+03     -0.12160613E+03      0.48260000E+02
      0.12854597E+03     -0.12033328E+03      0.48260000E+02
      0.12973671E+03     -0.11904853E+03      0.48260000E+02
      0.13091461E+03     -0.11775199E+03      0.48260000E+02
      0.13207956E+03     -0.11644379E+03      0.48260000E+02
      0.13323143E+03     -0.11512408E+03      0.48260000E+02
      0.13437011E+03     -0.11379296E+03      0.48260000E+02
      0.13549550E+03     -0.11245059E+03      0.48260000E+02
      0.13660748E+03     -0.11109709E+03      0.48260000E+02
      0.13770594E+03     -0.10973259E+03      0.48260000E+02
      0.13879077E+03     -0.10835723E+03      0.48260000E+02
      0.13986186E+03     -0.10697115E+03      0.48260000E+02
      0.14091911E+03     -0.10557448E+03      0.48260000E+02
      0.14196241E+03     -0.10416736E+03      0.48260000E+02
      0.14299167E+03     -0.10274994E+03      0.48260000E+02
      0.14400677E+03     -0.10132234E+03      0.48260000E+02
      0.14500762E+03     -0.99884717E+02      0.48260000E+02
      0.14599412E+03     -0.98437207E+02      0.48260000E+02
      0.14696617E+03     -0.96979955E+02      0.48260000E+02
      0.14792367E+03     -0.95513106E+02      0.48260000E+02
      0.14886654E+03     -0.94036803E+02      0.48260000E+02
      0.14979467E+03     -0.92551194E+02      0.48260000E+02
      0.15070798E+03     -0.91056425E+02      0.48260000E+02
      0.15160637E+03     -0.89552644E+02      0.48260000E+02
      0.15248975E+03     -0.88040000E+02      0.48260000E+02
      0.15335805E+03     -0.86518643E+02      0.48260000E+02
      0.15421116E+03     -0.84988723E+02      0.48260000E+02
      0.15504902E+03     -0.83450392E+02      0.48260000E+02
      0.15587153E+03     -0.81903802E+02      0.48260000E+02
      0.15667861E+03     -0.80349106E+02      0.48260000E+02
      0.15747019E+03     -0.78786458E+02      0.48260000E+02
      0.15824618E+03     -0.77216012E+02      0.48260000E+02
      0.15900651E+03     -0.75637924E+02      0.48260000E+02
      0.15975111E+03     -0.74052351E+02      0.48260000E+02
      0.16047989E+03     -0.72459448E+02      0.48260000E+02
      0.16119279E+03     -0.70859375E+02      0.48260000E+02
      0.16188974E+03     -0.69252288E+02      0.48260000E+02
      0.16257066E+03     -0.67638348E+02      0.48260000E+02
      0.16323550E+03     -0.66017713E+02      0.48260000E+02
      0.16388418E+03     -0.64390545E+02      0.48260000E+02
      0.16451664E+03     -0.62757004E+02      0.48260000E+02
      0.16513282E+03     -0.61117252E+02      0.48260000E+02
      0.16573266E+03     -0.59471451E+02      0.48260000E+02
      0.16631609E+03     -0.57819764E+02      0.48260000E+02
      0.16688306E+03     -0.56162355E+02      0.48260000E+02
      0.16743352E+03     -0.54499388E+02      0.48260000E+02
      0.16796740E+03     -0.52831027E+02      0.48260000E+02
      0.16848467E+03     -0.51157437E+02      0.48260000E+02
      0.16898525E+03     -0.49478784E+02      0.48260000E+02
      0.16946912E+03     -0.47795234E+02      0.48260000E+02
      0.16993621E+03     -0.46106954E+02      0.48260000E+02
      0.17038648E+03     -0.44414111E+02      0.48260000E+02
      0.17081989E+03     -0.42716873E+02      0.48260000E+02
      0.17123639E+03     -0.41015406E+02      0.48260000E+02
      0.17163595E+03     -0.39309880E+02      0.48260000E+02
      0.17201852E+03     -0.37600464E+02      0.48260000E+02
      0.17238407E+03     -0.35887327E+02      0.48260000E+02
      0.17273255E+03     -0.34170638E+02      0.48260000E+02
      0.17306394E+03     -0.32450567E+02      0.48260000E+02
      0.17337820E+03     -0.30727284E+02      0.48260000E+02
      0.17367530E+03     -0.29000960E+02      0.48260000E+02
      0.17395522E+03     -0.27271766E+02      0.48260000E+02
      0.17421791E+03     -0.25539873E+02      0.48260000E+02
      0.17446337E+03     -0.23805452E+02      0.48260000E+02
      0.17469156E+03     -0.22068676E+02      0.48260000E+02
      0.17490246E+03     -0.20329715E+02      0.48260000E+02
      0.17509605E+03     -0.18588742E+02      0.48260000E+02
      0.17527231E+03     -0.16845930E+02      0.48260000E+02
      0.17543122E+03     -0.15101450E+02      0.48260000E+02
      0.17557277E+03     -0.13355475E+02      0.48260000E+02
      0.17569695E+03     -0.11608179E+02      0.48260000E+02
      0.17580373E+03     -0.98597343E+01      0.48260000E+02
      0.17589312E+03     -0.81103135E+01      0.48260000E+02
      0.17596510E+03     -0.63600900E+01      0.48260000E+02
      0.17601966E+03     -0.46092371E+01      0.48260000E+02
      0.17601966E+03     -0.46092371E+01     -0.48260000E+02
      0.17596510E+03     -0.63600900E+01     -0.48260000E+02
      0.17589312E+03     -0.81103135E+01     -0.48260000E+02
      0.17580373E+03     -0.98597343E+01     -0.48260000E+02
      0.17569695E+03     -0.11608179E+02     -0.48260000E+02
      0.17557277E+03     -0.13355475E+02     -0.48260000E+02
      0.17543122E+03     -0.15101450E+02     -0.48260000E+02
      0.17527231E+03     -0.16845930E+02     -0.48260000E+02
      0.17509605E+03     -0.18588742E+02     -0.48260000E+02
      0.17490246E+03     -0.20329715E+02     -0.48260000E+02
      0.17469156E+03     -0.22068676E+02     -0.48260000E+02
      0.17446337E+03     -0.23805452E+02     -0.48260000E+02
      0.17421791E+03     -0.25539873E+02     -0.48260000E+02
      0.17395522E+03     -0.27271766E+02     -0.48260000E+02
      0.17367530E+03     -0.29000960E+02     -0.48260000E+02
      0.17337820E+03     -0.30727284E+02     -0.48260000E+02
      0.17306394E+03     -0.32450567E+02     -0.48260000E+02
      0.17273255E+03     -0.34170638E+02     -0.48260000E+02
      0.17238407E+03     -0.35887327E+02     -0.48260000E+02
      0.17201852E+03     -0.37600464E+02     -0.48260000E+02
      0.17163595E+03     -0.39309880E+02     -0.48260000E+02
      0.17123639E+03     -0.41015406E+02     -0.48260000E+02
      0.17081989E+03     -0.42716873E+02     -0.48260000E+02
      0.17038648E+03     -0.44414111E+02     -0.48260000E+02
      0.16993621E+03     -0.46106954E+02     -0.48260000E+02
      0.16946912E+03     -0.47795234E+02     -0.48260000E+02
      0.16898525E+03     -0.49478784E+02     -0.48260000E+02
      0.16848467E+03     -0.51157437E+02     -0.48260000E+02
      0.16796740E+03     -0.52831027E+02     -0.48260000E+02
      0.16743352E+03     -0.54499388E+02     -0.48260000E+02
      0.16688306E+03     -0.56162355E+02     -0.48260000E+02
      0.16631609E+03     -0.57819764E+02     -0.48260000E+02
      0.16573266E+03     -0.59471451E+02     -0.48260000E+02
      0.16513282E+03     -0.61117252E+02     -0.48260000E+02
      0.16451664E+03     -0.62757004E+02     -0.48260000E+02
      0.16388418E+03     -0.64390545E+02     -0.48260000E+02
      0.16323550E+03     -0.66017713E+02     -0.48260000E+02
      0.16257066E+03     -0.67638348E+02     -0.48260000E+02
      0.16188974E+03     -0.69252288E+02     -0.48260000E+02
      0.16119279E+03     -0.70859375E+02     -0.48260000E+02
      0.16047989E+03     -0.72459448E+02     -0.48260000E+02
      0.15975111E+03     -0.74052351E+02     -0.48260000E+02
      0.15900651E+03     -0.75637924E+02     -0.48260000E+02
      0.15824618E+03     -0.77216012E+02     -0.48260000E+02
      0.15747019E+03     -0.78786458E+02     -0.48260000E+02
      0.15667861E+03     -0.80349106E+02     -0.48260000E+02
      0.15587153E+03     -0.81903802E+02     -0.48260000E+02
      0.15504902E+03     -0.83450392E+02     -0.48260000E+02
      0.15421116E+03     -0.84988723E+02     -0.48260000E+02
      0.15335805E+03     -0.86518643E+02     -0.48260000E+02
      0.15248975E+03     -0.88040000E+02     -0.48260000E+02
      0.15160637E+03     -0.89552644E+02     -0.48260000E+02
      0.15070798E+03     -0.91056425E+02     -0.48260000E+02
      0.14979467E+03     -0.92551194E+02     -0.48260000E+02
      0.14886654E+03     -0.94036803E+02     -0.48260000E+02
      0.14792367E+03     -0.95513106E+02     -0.48260000E+02
      0.14696617E+03     -0.96979955E+02     -0.48260000E+02
      0.14599412E+03     -0.98437207E+02     -0.48260000E+02
      0.14500762E+03     -0.99884717E+02     -0.48260000E+02
      0.14400677E+03     -0.10132234E+03     -0.48260000E+02
      0.14299167E+03     -0.10274994E+03     -0.48260000E+02
      0.14196241E+03     -0.10416736E+03     -0.48260000E+02
      0.14091911E+03     -0.10557448E+03     -0.48260000E+02
      0.13986186E+03     -0.10697115E+03     -0.48260000E+02
      0.13879077E+03     -0.10835723E+03     -0.48260000E+02
      0.13770594E+03     -0.10973259E+03     -0.48260000E+02
      0.13660748E+03     -0.11109709E+03     -0.48260000E+02
      0.13549550E+03     -0.11245059E+03     -0.48260000E+02
      0.13437011E+03     -0.11379296E+03     -0.48260000E+02
      0.13323143E+03     -0.11512408E+03     -0.48260000E+02
      0.13207956E+03     -0.11644379E+03     -0.48260000E+02
      0.13091461E+03     -0.11775199E+03     -0.48260000E+02
      0.12973671E+03     -0.11904853E+03     -0.48260000E+02
      0.12854597E+03     -0.12033328E+03     -0.48260000E+02
      0.12734251E+03     -0.12160613E+03     -0.48260000E+02
      0.12612645E+03     -0.12286694E+03     -0.48260000E+02
      0.12489790E+03     -0.12411560E+03     -0.48260000E+02
      0.12365699E+03     -0.12535197E+03     -0.48260000E+02
      0.12240384E+03     -0.12657593E+03     -0.48260000E+02
      0.12113858E+03     -0.12778736E+03     -0.48260000E+02
      0.11986133E+03     -0.12898615E+03     -0.48260000E+02
      0.11857222E+03     -0.13017218E+03     -0.48260000E+02
      0.11727137E+03     -0.13134532E+03     -0.48260000E+02
      0.11595892E+03     -0.13250546E+03     -0.48260000E+02
      0.11463498E+03     -0.13365248E+03     -0.48260000E+02
      0.11329971E+03     -0.13478628E+03     -0.48260000E+02
      0.11195322E+03     -0.13590674E+03     -0.48260000E+02
      0.11059565E+03     -0.13701375E+03     -0.48260000E+02
      0.10922714E+03     -0.13810720E+03     -0.48260000E+02
      0.10784781E+03     -0.13918698E+03     -0.48260000E+02
      0.10645781E+03     -0.14025299E+03     -0.48260000E+02
      0.10505728E+03     -0.14130511E+03     -0.48260000E+02
      0.10364635E+03     -0.14234325E+03     -0.48260000E+02
      0.10222516E+03     -0.14336730E+03     -0.48260000E+02
      0.10079385E+03     -0.14437717E+03     -0.48260000E+02
      0.99352566E+02     -0.14537274E+03     -0.48260000E+02
      0.97901451E+02     -0.14635393E+03     -0.48260000E+02
      0.96440646E+02     -0.14732063E+03     -0.48260000E+02
      0.94970297E+02     -0.14827275E+03     -0.48260000E+02
      0.93490548E+02     -0.14921020E+03     -0.48260000E+02
      0.92001547E+02     -0.15013288E+03     -0.48260000E+02
      0.92001547E+02     -0.15013288E+03      0.48260000E+02
     202        1.000000       0
      0.17601966E+03      0.46092371E+01      0.48260000E+02
      0.17596510E+03      0.63600900E+01      0.48260000E+02
      0.17589312E+03      0.81103135E+01      0.48260000E+02
      0.17580373E+03      0.98597343E+01      0.48260000E+02
      0.17569695E+03      0.11608179E+02      0.48260000E+02
      0.17557277E+03      0.13355475E+02      0.48260000E+02
      0.17543122E+03      0.15101450E+02      0.48260000E+02
      0.17527231E+03      0.16845930E+02      0.48260000E+02
      0.17509605E+03      0.18588742E+02      0.48260000E+02
      0.17490246E+03      0.20329715E+02      0.48260000E+02
      0.17469156E+03      0.22068676E+02      0.48260000E+02
      0.17446337E+03      0.23805452E+02      0.48260000E+02
      0.17421791E+03      0.25539873E+02      0.48260000E+02
      0.17395522E+03      0.27271766E+02      0.48260000E+02
      0.17367530E+03      0.29000960E+02      0.48260000E+02
      0.17337820E+03      0.30727284E+02      0.48260000E+02
      0.17306394E+03      0.32450567E+02      0.48260000E+02
      0.17273255E+03      0.34170638E+02      0.48260000E+02
      0.17238407E+03      0.35887327E+02      0.48260000E+02
      0.17201852E+03      0.37600464E+02      0.48260000E+02
      0.17163595E+03      0.39309880E+02      0.48260000E+02
      0.17123639E+03      0.41015406E+02      0.48260000E+02
      0.17081989E+03      0.42716873E+02      0.48260000E+02
      0.17038648E+03      0.44414111E+02      0.48260000E+02
      0.16993621E+03      0.46106954E+02      0.48260000E+02
      0.16946912E+03      0.47795234E+02      0.48260000E+02
      0.16898525E+03      0.49478784E+02      0.48260000E+02
      0.16848467E+03      0.51157437E+02      0.48260000E+02
      0.16796740E+03      0.52831027E+02      0.48260000E+02
      0.16743352E+03      0.54499388E+02      0.48260000E+02
      0.16688306E+03      0.56162355E+02      0.48260000E+02
      0.16631609E+03      0.57819764E+02      0.48260000E+02
      0.16573266E+03      0.59471451E+02      0.48260000E+02
      0.16513282E+03      0.61117252E+02      0.48260000E+02
      0.16451664E+03      0.62757004E+02      0.48260000E+02
      0.16388418E+03      0.64390545E+02      0.48260000E+02
      0.16323550E+03      0.66017713E+02      0.48260000E+02
      0.16257066E+03      0.67638348E+02      0.48260000E+02
      0.16188974E+03      0.69252288E+02      0.48260000E+02
      0.16119279E+03      0.70859375E+02      0.48260000E+02
      0.16047989E+03      0.72459448E+02      0.48260000E+02
      0.15975111E+03      0.74052351E+02      0.48260000E+02
      0.15900651E+03      0.75637924E+02      0.48260000E+02
      0.15824618E+03      0.77216012E+02      0.48260000E+02
      0.15747019E+03      0.78786458E+02      0.48260000E+02
      0.15667861E+03      0.80349106E+02      0.48260000E+02
      0.15587153E+03      0.81903802E+02      0.48260000E+02
      0.15504902E+03      0.83450392E+02      0.48260000E+02
      0.15421116E+03      0.84988723E+02      0.48260000E+02
      0.15335805E+03      0.86518643E+02      0.48260000E+02
      0.15248975E+03      0.88040000E+02      0.48260000E+02
      0.15160637E+03      0.89552644E+02      0.48260000E+02
      0.15070798E+03      0.91056425E+02      0.48260000E+02
      0.14979467E+03      0.92551194E+02      0.48260000E+02
      0.14886654E+03      0.94036803E+02      0.48260000E+02
      0.14792367E+03      0.95513106E+02      0.48260000E+02
      0.14696617E+03      0.96979955E+02      0.48260000E+02
      0.14599412E+03      0.98437207E+02      0.48260000E+02
      0.14500762E+03      0.99884717E+02      0.48260000E+02
      0.14400677E+03      0.10132234E+03      0.48260000E+02
      0.14299167E+03      0.10274994E+03      0.48260000E+02
      0.14196241E+03      0.10416736E+03      0.48260000E+02
